MWSC,N,Name,Type,n_Type,RAJ2000,DEJ2000,GLON,GLAT,r0,r1,r2,pmRA,pmDE,N1sr0,N1sr1,N1sr2,d,E(B-V),MOD,E(J-Ks),E(J-H),deltaH,logt,e_logt,Nt
5748,4938,MWSC_5748        , , ,307.242,0.4,44.977,-21.355,0.015,0.08,0.15,1.25,-3.05,2,16,31,1388,0.583,10.9,0.28,0.187,0,8.725,0.12,3
5749,2507,MWSC_5749        , , ,308.04,-78.615,315.018,-31.446,0.012,0.09,0.15,4,-3.9,3,29,47,1890,0.364,11.5,0.175,0.117,0.02,9.345,       ,-1
5751,5256,MWSC_5751        , , ,308.943,7.985,52.837,-18.912,0.013,0.075,0.14,-1.95,-5.38,1,17,57,1532,0.167,10.98,0.08,0.053,0.03,9.25,       ,-1
5764,3963,MWSC_5764        , , ,317.392,19.486,67.765,-18.873,0.02,0.07,0.12,-2.12,-4.43,3,16,27,2297,0.291,11.9,0.14,0.093,0,9.2,       ,-1
5779,3887,MWSC_5779        , , ,325.927,25.82,78.371,-20.392,0.017,0.07,0.135,-0.97,-7.94,2,15,34,2642,0.281,12.2,0.135,0.09,0,9.13,       ,-1
5782,3280,MWSC_5782        , , ,326.505,20.83,75.002,-24.327,0.02,0.09,0.15,0.38,-11.6,2,20,44,1732,0.333,11.3,0.16,0.107,0,9.29,       ,-1
5800,2958,MWSC_5800        , , ,339.096,30.24,91.168,-24.177,0.02,0.09,0.16,-1.58,-0.05,2,12,26,1679,0.604,11.32,0.29,0.193,0.03,8.325,       ,-1
5804,2005,MWSC_5804        , , ,340.972,15.04,82.777,-37.695,0.025,0.11,0.2,-0.07,-4.44,2,15,20,1896,0.187,11.45,0.09,0.06,0.02,9.465,       ,-1
5811,1447,MWSC_5811        ,r,c,345.765,-12.315,57.842,-60.611,0.02,0.125,0.24,7.41,0.85,1,12,18,1261,0.146,10.55,0.07,0.047,0,9.425,       ,-1
5828,3696,MWSC_5828        , , ,357.675,41.428,110.86,-20.019,0.015,0.105,0.18,-3.23,-4.6,1,27,49,2207,0.406,11.85,0.195,0.13,0.02,9.2,       ,-1
5901,4052,MWSC_5901        , , ,112.56,27.02,191.995,19.916,0.025,0.13,0.24,-4.87,-5.99,2,20,49,709,0.052,9.27,0.025,0.017,-0.02,9.38,       ,1
5963,3741,MWSC_5963        , , ,85.987,-10.655,215.029,-19.77,0.035,0.165,0.25,0.09,-2.18,4,32,51,430,0.562,8.35,0.27,0.18,-0.06,8.82,       ,-1
